,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
0,211,Koramangala,Bangalore,Tandoor Hut,300,4.4,100,"['Biryani', 'Chinese', 'North Indian', 'South Indian']",5Th Block,59
1,221,Koramangala,Bangalore,Tunday Kababi,300,4.1,100,"['Mughlai', 'Lucknowi']",5Th Block,56
2,246,Jogupalya,Bangalore,Kim Lee,650,4.4,100,['Chinese'],Double Road,50
3,248,Indiranagar,Bangalore,New Punjabi Hotel,250,3.9,500,"['North Indian', 'Punjabi', 'Tandoor', 'Chinese']",80 Feet Road,57
4,249,Indiranagar,Bangalore,Nh8,350,4.0,50,"['Rajasthani', 'Gujarati', 'North Indian', 'Snacks', 'Desserts', 'Beverages', 'Thalis', 'Chaat']",80 Feet Road,63
5,254,Indiranagar,Bangalore,Treat,800,4.5,100,"['Mughlai', 'North Indian']",100 Feet Road,56
6,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000,4.5,500,"['Mexican', 'Beverages', 'Salads']",Double Road,53
7,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,100,"['Desserts', 'British', 'Bakery', 'Pizzas', 'Snacks']",4Th Block,57
8,267,Domlur,Bangalore,Tea Brew,350,4.1,100,"['American', 'Italian', 'Beverages', 'Continental', 'Chinese', 'Pastas', 'Pizzas', 'Fast Food']",Double Road,57
9,308,Koramangala,Bangalore,Bangaliana,300,4.0,500,['Bengali'],7Th Block,57
10,435,Koramangala,Bangalore,Bamey'S Restro Cafe,400,4.4,100,"['Chinese', 'Thai', 'Nepalese']",5Th Block,56
11,446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,"['North Indian', 'Chinese']",Cooke Town,55
12,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532,4.2,100,"['Mughlai', 'North Indian', 'Biryani']",Mm Road,54
13,464,Sivanchetti Gardens,Bangalore,Urban Solace,500,2.9,80,"['American', 'Continental']",Ulsoor Lake,48
14,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150,4.3,100,"['Fast Food', 'Beverages', 'Bengali', 'Biryani', 'Indian', 'North Indian', 'Snacks', 'Street Food']",Domlur Layout,59
15,604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290,4.3,100,"['Mughlai', 'North Indian']",7Th Block,52
16,608,Domlur,Bangalore,Kerala Pavilion,300,4.1,100,"['Kerala', 'Seafood']",Domlur Layout,55
17,621,Indiranagar,Bangalore,Kitchen Of Joy,250,4.4,100,"['Bengali', 'Fast Food', 'Chinese']",Domlur,55
18,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800,4.2,1000,"['Seafood', 'Andhra', 'Biryani', 'South Indian', 'Combo', 'Desserts', 'Beverages']",3Rd Block,48
19,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800,2.9,80,"['Mughlai', 'North Indian', 'Chinese', 'Thai', 'Asian']",Near Apollo Health City Gate,90
20,1304,Indiranagar,Bangalore,Esplanade,1200,4.3,100,"['Mughlai', 'Bengali']",I Indirangar,54
21,1457,Banashankari,Bangalore,Hotel New Karavali,250,3.8,100,"['North Indian', 'Chinese', 'South Indian']",Bsk 1St Stage,53
22,1547,Masab Tank,Hyderabad,Dine Hill,400,4.1,500,"['Arabian', 'Biryani', 'North Indian', 'Chinese']",Ahmed Nagar,49
23,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400,4.1,5000,"['Biryani', 'Tandoor', 'Chinese', 'Indian', 'Desserts', 'Kebabs', 'Mughlai']",Road 11,56
24,1593,Banjara Hills,Hyderabad,Sarvi Bakery,250,4.1,100,"['Desserts', 'Fast Food', 'Bakery']",Opposite Care Hospital Road 11 Banjara Hills,58
25,1609,Andheri East,Mumbai,Kung Fu Panda,600,4.3,100,['Chinese  Thai  Asian'],Marol,58
26,1617,Powai,Mumbai,Kosho,300,4.2,100,"['Mughlai', 'North Indian', 'Chinese', 'Seafood', 'Italian']",Chandivali,56
27,1844,Punjagutta,Hyderabad,Chinese Pavilion,850,4.3,500,"['Chinese', 'Seafood']",Nagarjuna Circle,64
28,1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200,4.2,100,"['Steakhouse', 'American']",Sri Ram Nagar Colony Banjara Hills,69
29,1874,Indiranagar,Bangalore,Mamagoto,900,4.2,100,"['Chinese', 'Asian', 'Pan-Asian', 'Thai', 'Oriental']",Mamagoto,59
30,1884,Powai,Mumbai,Hakka Express,300,4.0,100,"['Chinese', 'Asian', 'Thai']",Narayan Plaza,48
31,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200,4.3,500,"['British', 'Italian', 'Indian', 'Chinese', 'South Indian', 'North Indian', 'Desserts']",1St Stage,57
32,2042,Aundh,Pune,Juice Destination,200,4.2,500,"['Thalis', 'North Indian', 'Punjabi', 'Beverages']",Iti Road Aundh,60
33,2047,Aundh,Pune,Hyderabadi Spice,400,4.2,1000,"['Biryani', 'Mughlai', 'North Indian', 'Chinese']",Parihar Chowk,58
34,2102,Aundh,Pune,Cafe Peterdonuts,400,4.1,50,"['Continental', 'Desserts']",Gaikwad Nagar,71
35,2250,Baner,Pune,Karolbaug,750,4.1,50,"['Mughlai', 'North Indian', 'Chinese', 'Biryani']",Sakal Nagar,72
36,2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500,4.4,500,['North Indian'],Guru Hargobindji Marg  Andheri East,65
37,2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500,4.1,100,['North Indian  South Indian'],S P Road,66
38,2348,Kalasiguda,Hyderabad,Bluefox,800,4.2,1000,['Biryani  North Indian  Chinese  Tandoor'],Sd Road,68
39,2516,Aundh,Pune,Taaareef,1100,4.4,100,"['Mughlai', 'North Indian', 'Seafood', 'Biryani']",Iti Road,67
40,2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,1000,['North Indian  Chinese  Desserts  Continental  South Indian'],Sd Road,57
41,2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600,4.2,500,"['Ice Cream', 'Beverages', 'Desserts', 'Chaat', 'Italian']",New Mla Quarters,37
42,2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500,4.0,1000,['Chinese'],New Mla Quarters,39
43,2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500,4.3,1000,"['South Indian', 'North Indian', 'Chinese']",Himayath Nagar Road,30
44,2796,Himayatnagar,Hyderabad,Bluefox,800,4.1,1000,"['Biryani', 'North Indian', 'Chinese', 'Tandoor']",Himayath Nagar Road,36
45,2811,Ashok Nagar,Bangalore,Art Of Delight,250,4.6,100,"['Ice Cream', 'Desserts', 'Beverages']",Residency Road,34
46,2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300,4.3,50,"['Tandoor', 'Mughlai', 'North Indian', 'Kebabs']",Kamaraj Road,39
47,2824,Richmond Town,Bangalore,Fanoos,300,4.2,500,"['Biryani', 'Tandoor', 'Kebabs', 'Barbecue', 'Fast Food']",Hosur Road,33
48,2827,Richmond Town,Bangalore,In Wok,500,4.3,100,['Chinese'],Richmond,44
49,2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450,4.1,100,"['Desserts', 'Ice Cream', 'Bakery', 'Fast Food']",Mg Road,31
50,2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300,2.9,80,"['Chinese', 'Continental', 'Fast Food']",Church Street,33
51,2840,Ashok Nagar,Bangalore,Roomali,1000,4.4,100,"['North Indian', 'Indian']",Church Street,35
52,2843,Ashok Nagar,Bangalore,Tadka Singh,300,4.2,100,"['Punjabi', 'North Indian']",Church Street,38
53,2914,Ashok Nagar,Bangalore,Bheemas,550,4.3,100,['Andhra'],Church Street,31
54,2915,Vasanth Nagar,Bangalore,Watson'S,450,2.9,80,['Fast Food'],1St Main Road,53
55,2964,Andheri East,Mumbai,Sai Leela,500,4.2,20,"['Mughlai', 'North Indian', 'Chinese', 'Seafood']",Andheri East,63
56,3007,Bhowanipore,Kolkata,Tandoori Darbar,500,4.4,100,"['North Indian', 'Chinese', 'Tandoor', 'Biryani', 'Beverages', 'Desserts']",Hazra Road,71
57,3010,Ballygunge,Kolkata,Ballygunge Dhaba,500,4.3,500,"['North Indian', 'Biryani', 'Chinese']",Ballygunge,59
58,3018,Gariahat,Kolkata,Tero Parbon,500,4.3,100,['Bengali'],Purna Das Road Hindustan Park,72
59,3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700,4.3,100,"['Continental', 'American', 'Cafe']",Purnadas Road,76
60,3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500,4.3,1000,"['Biryani', 'Mughlai', 'North Indian', 'Indian', 'Kebabs', 'Tandoor']",Ballygunge Gardens,67
61,3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500,2.9,80,"['North Indian', 'Chinese', 'Bengali']",Gariahat Road Gariahat,70
62,3031,Ballygunge,Kolkata,Sharma Dhaba,300,4.2,1000,['North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese'],Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
63,3063,Indiranagar,Bangalore,Kund Indian Barbeque,200,4.2,100,"['Mughlai', 'North Indian', 'Biryani', 'Kebabs', 'Desserts']",1St Stage,58
64,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500,4.3,1000,"['North Indian', 'Indian', 'Tandoor', 'Kebabs', 'Punjabi', 'Home Food', 'Chinese']",Sarat Bose Road Paddapukur,60
65,3074,Kalighat,Kolkata,Tamarind,1100,4.4,100,"['North Indian', 'South Indian']",Sarat Bose Road Desapriya Park,73
66,3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300,4.2,100,['Fast Food'],Coles Road,47
67,3265,Indiranagar,Bangalore,Chaipatty,200,3.9,50,"['Fast Food', 'Beverages', 'Pizzas', 'Street Food', 'Snacks']",Hanumanthanagar,56
68,3279,Powai Area,Mumbai,5 Spice,1100,4.2,500,"['Chinese', 'Desserts']",Powai Area,53
69,3324,Punjagutta,Hyderabad,Srikanya,250,4.1,1000,"['Andhra', 'Seafood']",Punjagutta Road,56
70,3326,Sion,Mumbai,Cafe Vrindavan,500,4.3,100,"['North Indian', 'Chinese', 'South Indian']",Sion Station,42
71,3329,Mumbai,Mumbai,Ramdeo,450,4.0,500,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",Sion Station,44
72,3331,Mumbai,Mumbai,Shabari,400,3.9,100,"['North Indian', 'South Indian', 'Fast Food']",Sion West,48
73,3332,Rajajinagar,Bangalore,The Purple Pan,400,4.1,1000,"['Mughlai', 'North Indian', 'Chinese', 'Arabian']",Dr. Rajkumar Road,56
74,3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500,2.9,80,"['North Indian', 'Chinese', 'Biryani', 'Seafood']",Lakeview,50
75,3369,Ashok Nagar,Bangalore,Truffles,450,4.5,1000,"['American', 'Desserts', 'Continental', 'Italian']",St. Marks Road,29
76,3439,Golpark,Kolkata,The Grub Club,400,4.3,1000,"['Italian', 'Chinese', 'Thai']",Golpark,69
77,3454,Koramangala,Bangalore,Lazeez,500,4.2,500,"['North Indian', 'Mughlai']",5Th Block,55
78,3531,Shivajinagar,Pune,Marrakesh,300,4.0,100,"['Lebanese', 'North Indian', 'Afghani', 'Mughlai', 'Combo', 'Biryani', 'Kebabs', 'Mediterranean', 'Arabian', 'Middle Eastern', 'Desserts']",Fc Road,46
79,3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150,4.2,500,"['Sweets', 'Bakery', 'Desserts', 'Fast Food', 'Street Food', 'Chaat']",Road No 2,65
80,3813,Gariahat,Kolkata,Kimli,600,4.4,100,"['Chinese', 'Seafood']",Purnadas Road,69
81,3830,Koregaon Park,Pune,Prem'S,1200,4.2,100,"['North Indian', 'Chinese', 'Continental', 'Asian', 'Desserts', 'Beverages']",Koregaon Park,53
82,3835,Deccan Gymkhana,Pune,The Chocolate Room,450,2.9,80,"['Desserts', 'Continental', 'Fast Food']",Fc Road,39
83,3855,Koregaon Park,Pune,Uncle'S Chinese,350,4.1,1000,"['Chinese', 'Thai', 'Malaysian']",Koregaon Park,55
84,3889,Jayanagar,Bangalore,House Of Kebab'S,500,3.7,50,"['North Indian', 'Chinese', 'Biryani']",Rv Road,51
85,3914,Karkhana,Hyderabad,Oh So Stoned,300,3.9,100,['Ice Cream  Desserts'],Vikrampuri Colony,68
86,4051,Kothrud,Pune,Zest Cafe Bar,250,4.2,20,"['Chinese', 'Fast Food']",Ideal Chambers  Kothrud,57
87,4064,Koregaon Park,Pune,Seven - Shawarma And Burgers,250,3.9,100,"['Lebanese', 'Fast Food', 'Snacks', 'Arabian']",Koregaon Park,51
88,4086,Kothrud,Pune,Rushhrs,250,4.3,100,"['Salads', 'Healthy Food']",Karishma Housing Society,46
89,4087,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400,4.2,500,"['Biryani', 'Mughlai', 'North Indian', 'Chinese']",Karve Road,35
90,4138,Koti,Hyderabad,Grand Hotel,300,4.1,10000,"['Biryani', 'Tandoor', 'Chinese', 'Indian', 'Kebabs', 'Desserts']",Abids Road,24
91,4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,250,3.7,500,['Chinese  Italian  Desserts  Bakery  Fast Food'],Dilsukhnagar Main Road,39
92,4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300,3.9,1000,"['Biryani', 'Chinese', 'South Indian', 'North Indian', 'Tandoor']",Alkapuri X Roads,67
93,4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300,3.8,1000,"['Biryani', 'Chinese', 'South Indian', 'North Indian', 'Tandoor']",L B Nagar,70
94,4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300,3.8,100,"['Biryani', 'Chinese', 'North Indian', 'South Indian']",Lakshmi Nagar Colony,52
95,4320,Narayanguda,Hyderabad,Mehfil,300,3.9,10000,"['Biryani', 'Tandoor', 'Chinese', 'Indian', 'Kebabs', 'Desserts']",Narayanguda,25
96,4338,Fc Road,Pune,The Burger Barn Cafe,300,4.1,100,"['American', 'Fast Food']",Ghole Road,46
97,4429,Park Street Area,Kolkata,Sip & Sandwich,300,2.9,80,['Pastas  Beverages  Fast Food'],Park Street,60
98,4430,Beniapukur,Kolkata,Shiraz Golden Restaurant,500,4.4,1000,"['Biryani', 'Mughlai', 'North Indian', 'Indian', 'Kebabs', 'Tandoor']",Park Street,52
99,4484,Park Street Area,Kolkata,Mocambo,1500,4.4,1000,"['North Indian', 'Biryani', 'Continental', 'Italian']",Park Street,62
100,4558,Bidhannagar,Kolkata,The Scoop,400,4.1,100,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",Sector 1,70
101,4565,Bidhannagar,Kolkata,Kaafila,1600,3.9,50,"['Mughlai', 'North Indian']",Sector 1,71
102,4587,Bidhannagar,Kolkata,Ranjan'S,200,4.2,100,"['North Indian', 'Chinese']",Sector 3,56
103,4599,Bidhannagar,Kolkata,Balle Balle Dhaba,500,4.1,1000,"['North Indian', 'Punjabi', 'Biryani']",Sector 1,59
104,4600,Bidhannagar,Kolkata,Le Coffee Creme,600,3.9,50,"['Combo', 'Chinese', 'Continental', 'Italian', 'Fast Food', 'Mexican']",Sector 1,68
105,4614,Himayatnagar,Hyderabad,Crystal Restaurant,350,3.9,1000,"['Biryani', 'North Indian', 'Chinese']",Rtc X Roads,34
106,4650,New Nallakunta,Hyderabad,Bawarchi,300,3.9,10000,"['Biryani', 'Tandoor', 'Chinese', 'Indian', 'Desserts', 'Kebabs', 'Mughlai']",Rtc X Roads,27
107,4739,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100,4.2,100,"['American', 'Steakhouse', 'Italian', 'Mexican', 'Continental', 'Mediterranean', 'Desserts', 'Grill', 'Salads', 'Pastas', 'Pizzas', 'Lebanese']",Kensington Point,52
108,4774,Adikmet,Hyderabad,Us Pizza,200,3.2,20,"['Italian', 'Pizzas', 'Fast Food', 'Beverages', 'Desserts']",O.U Road,48
109,4776,Amberpet,Hyderabad,Surabhi Grand,300,4.0,500,"['Mughlai', 'North Indian', 'Chinese', 'Seafood']",Tilaknagar,45
110,4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300,4.2,20,['Chinese'],Himayathnagar,34
111,4783,Adikmet,Hyderabad,Frosty Den,200,2.2,20,"['Ice Cream', 'Pizzas', 'Fast Food', 'Beverages', 'Desserts']",O.U Road,43
112,4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300,3.6,100,"['Biryani', 'Chinese', 'South Indian', 'North Indian', 'Tandoor']",Road No 12,62
113,4841,Karve Nagar,Pune,Cheesiano Pizza,500,3.9,100,"['Italian', 'Pizzas', 'Fast Food']",Karvenagar,52
114,4853,Domlur,Bangalore,Venus Biryani,200,4.1,500,['Biryani'],3Rd Cross,49
115,4956,Andheri East,Mumbai,Rj Spice,450,4.1,20,['Chinese  Thai  Fast Food'],Jb Nagar  Andheri East,55
116,5107,Agarkar Nagar,Pune,Blue Nile,1000,4.2,1000,"['Biryani', 'Mughlai', 'Tandoor', 'Chinese', 'Desserts', 'Ice Cream', 'Beverages']",Bund Garden Road,31
117,5119,Koregaon Park,Pune,Arthur'S Theme,800,4.3,100,"['Italian', 'European']",Lane No 6 Opp Cosmos Bank Kp,56
118,5120,Mundhwa,Pune,Carnival Restaurant & Bar,1000,4.2,100,"['North Indian', 'Chinese', 'Seafood', 'Continental']",Mundhwa Road Kp,64
119,5139,Shivajinagar,Pune,Smokin' Joe'S,400,4.0,50,"['American', 'Fast Food']",Jm Road,35
120,5150,Mohammed Wadi,Pune,Chai - The Way You Like It,250,4.0,50,['Fast Food'],Salunkhe Vihar Road,73
121,5157,Shivajinagar,Pune,Mainland China,850,4.4,100,"['Chinese', 'Oriental', 'Thai', 'Pan-Asian', 'Seafood', 'Asian', 'Desserts']",Pyramid Mall,53
122,5172,Bandra Area,Mumbai,Theobroma,800,4.7,500,"['Desserts', 'Bakery', 'Beverages']",Bandra Area,40
123,5208,Paschim Vihar,Delhi,Deli 63,400,2.9,80,"['Street Food', 'Fast Food']",Punjabi Bagh,60
124,5221,Malleshwaram,Bangalore,Food Paradise,326,3.9,100,"['Mughlai', 'North Indian', 'Chinese', 'Fast Food']",Malleshwaram,53
125,5247,Ashok Nagar,Bangalore,Corner House Ice Cream,250,4.7,1000,"['Ice Cream', 'Desserts']",Residency Road,31
126,5251,Kalighat,Kolkata,Bachan'S Dhaba,250,4.3,5000,"['North Indian', 'Chinese']",Near Kalighat Metro Rash Behari Avenue,61
127,5255,Ballygunge,Kolkata,Mainland China,850,4.5,100,"['Chinese', 'Oriental', 'Thai', 'Pan-Asian', 'Seafood', 'Asian', 'Desserts']",Ballygunge,64
128,5285,Lakdikapul,Hyderabad,Chicha'S,200,3.8,500,"['Biryani', 'Hyderabadi', 'Indian', 'Street Food']",P & T Officers Colony,40
129,5297,Deccan Gymkhana,Pune,Le Plaisir,1000,4.5,500,"['Italian', 'Continental', 'European', 'Desserts']",Prabhat Road Deccan,40
130,5370,Deccan Gymkhana,Pune,Cafe Goodluck,200,4.4,100,"['North Indian', 'Fast Food', 'Biryani', 'Cafe', 'Snacks', 'Beverages', 'Bakery']",Shivajinagar,35
131,5408,Camp,Pune,George Restaurant,600,4.3,1000,"['North Indian', 'Chinese', 'Biryani', 'Mughlai', 'Parsi', 'Fast Food']",East Street,33
132,5496,Camp,Pune,Marzorin,200,4.4,1000,"['Fast Food', 'Bakery', 'Beverages', 'Snacks', 'Desserts']",Mg Road,33
133,5504,Antop Hill,Mumbai,Monica Chinese Fast Food,350,3.9,50,['Chinese'],Antop Hill,57
134,5538,Kothapet,Hyderabad,Kinara Grand,750,3.9,1000,"['North Indian', 'Chinese', 'Biryani']",Ashta Laxmi Temple,58
135,5549,New Tippasandra,Bangalore,Dal Roti Sabji,150,4.5,100,['North Indian'],80Ft Road,54
136,5573,Ashok Nagar,Bangalore,Mainland China,850,4.3,100,"['Chinese', 'Oriental', 'Thai', 'Pan-Asian', 'Seafood', 'Asian', 'Desserts']",Church Street,40
137,5582,Vasanth Nagar,Bangalore,Shezan,600,4.3,100,"['North Indian', 'Chinese', 'Continental', 'Mughlai']",Cunnigham Road,44
138,5596,Vasanth Nagar,Bangalore,Dolci Desserts,600,4.5,50,"['Desserts', 'Pastas']",Cunnigham Road,40
139,5624,Deccan Gymkhana,Pune,Subway,350,4.4,100,"['Fast Food', 'Healthy Food', 'Salads', 'Snacks', 'Desserts', 'Beverages']",Fc Road,35
140,5691,Bandra Area,Mumbai,Smoke House Deli,600,4.4,100,"['European', 'Italian', 'American', 'Pastas', 'Salads', 'Juices', 'Desserts', 'Combo']",Bandra Area,48
141,5743,Bhawani Peth,Pune,Madinah,200,4.0,500,"['Mughlai', 'North Indian', 'Chinese', 'Biryani']",Poona College,34
142,5802,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800,4.5,20,"['North Indian', 'Chinese', 'Continental']",Sector 3,69
143,5862,Basheer Bagh,Hyderabad,Meghacity,500,4.4,1000,"['North Indian', 'Chinese']",Basheerbagh X Road,32
144,5878,Kalyani Nagar,Pune,Salad Grills,300,4.3,100,"['Healthy Food', 'Salads', 'Fast Food', 'Continental', 'North Indian', 'Chinese']",Hermes Parai,63
145,5882,Ashok Nagar,Bangalore,Oh! Calcutta,800,4.3,100,['Bengali'],Church Street,36
146,5893,Shankarapura,Bangalore,Polar Bear,300,4.5,100,"['Desserts', 'Fast Food']",Vv Puram,38
147,5908,Vasanth Nagar,Bangalore,Miller'S 46,1100,4.4,100,"['Steakhouse', 'American', 'Continental']",Cunnigham Road,47
148,5916,Sivanchetti Gardens,Bangalore,Carnival De Goa,500,4.1,100,"['Goan', 'Mangalorean', 'Kerala', 'South Indian', 'Seafood', 'Coastal', 'Continental']",Kensington Point,48
149,5989,Elgin,Kolkata,The Rouge,400,4.4,50,['Desserts  Bakery'],Near Bishop'S College  Kolkata,51
150,5994,Bidhannagar,Kolkata,The Darjeeling,500,4.0,100,"['Chinese', 'Nepalese', 'Tibetan']",Near City Centre 1,73
151,6075,Paschim Vihar,Delhi,London Grill Co,500,4.0,1000,"['American', 'Healthy Food', 'Fast Food', 'Continental', 'Salads', 'Beverages', 'Desserts']",Paschim Vihar,50
152,6328,Mumbai,Mumbai,Mughal Fusions,300,3.9,100,"['Mughlai', 'North Indian', 'Chinese', 'Seafood']",Lbs Marg,38
153,6329,Kurla West,Mumbai,Mughal Darbaar,300,3.7,500,"['Mughlai', 'North Indian', 'Chinese', 'Seafood']",Lbs Marg,40
154,6332,Saki Naka,Mumbai,Naaz Hotel,750,4.1,500,"['Mughlai', 'North Indian', 'Chinese']",Kurla West,39
155,6345,Teynampet,Chennai,Amaravathi,650,4.2,100,"['Indian', 'Chinese', 'Andhra', 'Tandoor']",Cathedral Road,53
156,6358,Nandanam,Chennai,Eatalica,500,4.5,100,"['Italian', 'American']",Ra Puram,69
157,6493,Rajajinagar,Bangalore,Kudla Beach,400,3.9,20,"['North Indian', 'Chinese', 'Seafood', 'South Indian']",Dr. Rajkumar Road,59
158,6518,Langford Gardens,Bangalore,Rolls Kitchen,200,4.4,500,['Fast Food'],Shanthi Nagar,35
159,6577,Punjagutta,Hyderabad,Zyqa Restaurant,200,4.0,500,"['North Indian', 'Biryani', 'Chinese']",Punjagutta,55
160,6585,Himayatnagar,Hyderabad,Sahara Bakers,200,3.8,500,"['Bakery', 'Pizzas']",Chikadpally,34
161,6663,Kurla West,Mumbai,Mughal Dhaba,500,4.0,20,"['Mughlai', 'North Indian', 'Chinese']",Lbs Marg Kurla West,36
162,6723,Deccan Gymkhana,Pune,Spring Onion,500,4.3,100,"['Chinese', 'Thai', 'Pan-Asian', 'Seafood']",Bhandarkar Road,39
163,6745,Koti,Hyderabad,Tibbs Frankie,150,4.3,100,['Snacks'],Hanuman Tekdi Road,29
164,6775,Kalighat,Kolkata,Petuk,350,4.0,20,"['Mughlai', 'Chinese', 'Fast Food']",Near Sujata Sadan Theater Hazra,70
165,6850,Malleshwaram,Bangalore,Shanthi Sagar Grand,200,4.0,100,"['North Indian', 'South Indian', 'Fast Food']",Sampige Road,57
166,6851,Abids,Hyderabad,Agrawala Sweets,250,4.3,100,"['Sweets', 'Fast Food']",Jn Road,27
167,6917,Powai,Mumbai,Eagle Boys Pizza,600,3.7,100,['Pizzas  Fast Food'],Chandivali,56
168,6924,Richmond Town,Bangalore,Freshmenu,250,4.1,1000,"['Chinese', 'Continental', 'Italian', 'Mediterranean', 'Thai', 'Lebanese', 'American', 'Asian', 'Beverages', 'Bakery', 'Biryani', 'Desserts', 'Mexican', 'North Indian', 'Salads', 'Pizzas']",Aga Abdullah Street,38
169,7002,Himayatnagar,Hyderabad,Angaara,250,3.9,100,"['Indian', 'Chinese', 'Tandoor']",Street 4,33
170,7029,Santacruz East,Mumbai,Golden Wave Restaurant,1000,2.9,80,"['North Indian', 'Chinese', 'Continental']",Santacruz East,56
171,7199,Bidhannagar,Kolkata,Afraa Deli-Sector 1,700,4.3,50,"['Continental', 'Fast Food', 'Italian', 'Beverages']",Sector 1,67
172,7204,Bidhannagar,Kolkata, Conclave At Afraa,850,3.9,50,"['Italian', 'Indian', 'Continental']",Salt Lake City Centre,75
173,7341,Ashok Nagar,Bangalore,Shiro,1400,4.4,100,"['Japanese', 'Asian']",Vittal Mallya Road,44
174,7412,Khairtabad,Hyderabad,Paradise Biryani,400,3.9,100,['Biryani  North Indian  Chinese'],Imax Road,48
175,7415,Aundh,Pune,Delhi Kitchen,300,4.0,100,"['Tandoor', 'North Indian', 'Biryani', 'Beverages', 'Desserts']",Dp Road,69
176,7626,Vishnu Garden,Delhi,Sethi Restaurant,300,4.0,1000,['North Indian'],Pacific Mall,63
177,7674,Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,200,4.7,100,['Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages'],Beleghata,34
178,7689,Lake Town,Kolkata,Buddha Bites-Jessore Road,300,3.7,1000,"['Chinese', 'Asian', 'Fast Food', 'Snacks', 'Tibetan']",Jessore Road,74
179,7776,Gopalapuram,Chennai,The Kati Roll Shop,250,4.3,1000,['Street Food'],Cathedral Road,52
180,7784,Powai Area,Mumbai,Asia Kitchen By Mainland China,850,4.3,100,"['Asian', 'Chinese', 'Oriental']",Powai Area,55
181,7826,Alwarpet,Chennai,Benjarong,1500,4.6,100,['Thai'],Ttk Road,68
182,7828,Mylapore,Chennai,Kaaraikudi,500,3.6,100,['Chettinad'],Dr Radhakrishnan Salai,57
183,7859,Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,1500,4.5,50,"['North Indian', 'Chinese', 'Thai', 'Continental']",Punjabi Bagh,72
184,7898,Golpark,Kolkata,Crossroad Crystal - Golpark,350,4.1,50,"['Indian', 'Chinese', 'Bengali']",Golpark,71
185,7940,Andheri East,Mumbai,99 East,300,2.9,80,['North Indian  Chinese  Seafood'],Andheri East,57
186,8009,Pashan,Pune,Saffron Multicuisine,400,4.5,20,"['Mughlai', 'North Indian', 'Chinese', 'Seafood', 'Tandoor']",Orange County Baner Pashan Link Road,68
187,8040,South Kolkata,Kolkata,Second House,500,2.9,80,"['North Indian', 'Chinese', 'Kebabs', 'Biryani', 'Mughlai']",Southern Avenue,84
188,8046,Gariahat,Kolkata,Santa'S Fantasea,1200,4.3,100,"['Tribal', 'Seafood', 'Chinese']",Ballygunge Terrace Near Anjali Jewellers Golpark,80
189,8093,Punjagutta,Hyderabad,Akson Restaurant,250,4.3,1000,"['North Indian', 'Biryani', 'Kerala']",Panjagutta Road,53
